id,peer_group_name,company_id,is_benchmark
1,Private Banks,HDFCBANK,TRUE
2,Private Banks,ICICIBANK,FALSE
3,Private Banks,AXISBANK,FALSE
4,Private Banks,KOTAKBANK,FALSE
5,Private Banks,INDUSINDBK,FALSE
6,Public Sector Banks,SBIN,TRUE
7,Public Sector Banks,BANKBARODA,FALSE
8,Public Sector Banks,CANBK,FALSE
9,Public Sector Banks,PNB,FALSE
10,IT Services,TCS,TRUE
11,IT Services,INFY,FALSE
12,IT Services,HCLTECH,FALSE
13,IT Services,TECHM,FALSE
14,IT Services,LTIM,FALSE
15,Pharmaceuticals,SUNPHARMA,TRUE
16,Pharmaceuticals,CIPLA,FALSE
17,Pharmaceuticals,DRREDDY,FALSE
18,Pharmaceuticals,DIVISLAB,FALSE
19,Pharmaceuticals,TORNTPHARM,FALSE
20,Automobiles,MARUTI,TRUE
21,Automobiles,TATAMOTORS,FALSE
22,Automobiles,M&M,FALSE
23,Automobiles,BAJAJ-AUTO,FALSE
24,Automobiles,EICHERMOT,FALSE
25,Automobiles,HEROMOTOCO,FALSE
26,Automobiles,TVSMOTOR,FALSE
27,Life Insurance,LICI,TRUE
28,Life Insurance,HDFCLIFE,FALSE
29,Life Insurance,SBILIFE,FALSE
30,Life Insurance,ICICIPRULI,FALSE
31,Oil & Gas,RELIANCE,TRUE
32,Oil & Gas,ONGC,FALSE
33,Oil & Gas,BPCL,FALSE
34,Oil & Gas,IOC,FALSE
35,Oil & Gas,GAIL,FALSE
36,Power & Utilities,NTPC,TRUE
37,Power & Utilities,POWERGRID,FALSE
38,Power & Utilities,TATAPOWER,FALSE
39,Power & Utilities,ADANIPOWER,FALSE
40,Power & Utilities,NHPC,FALSE
41,Power & Utilities,JSWENERGY,FALSE
42,Power & Utilities,ADANIGREEN,FALSE
43,Steel,TATASTEEL,TRUE
44,Steel,JSWSTEEL,FALSE
45,Steel,JINDALSTEL,FALSE
46,Steel,HINDALCO,FALSE
47,FMCG,HINDUNILVR,TRUE
48,FMCG,ITC,FALSE
49,FMCG,BRITANNIA,FALSE
50,FMCG,DABUR,FALSE
51,FMCG,NESTLEIND,FALSE
52,FMCG,GODREJCP,FALSE
53,FMCG,TATACONSUM,FALSE
54,Consumer Finance,BAJFINANCE,TRUE
55,Consumer Finance,CHOLAFIN,FALSE
56,Consumer Finance,SHRIRAMFIN,FALSE
57,Consumer Finance,JIOFIN,FALSE
